Node,Time,Fault Type
255,1681055757,Fault: Channel Selection
255,1681055848,Fault: Channel Selection
255,1681055939,Fault: Channel Selection
255,1681056031,Fault: Channel Selection
255,1681056122,Fault: Channel Selection
255,1681056213,Fault: Channel Selection
255,1681056304,Fault: Channel Selection
255,1681056395,Fault: Channel Selection
255,1681056487,Fault: Channel Selection
255,1681056578,Fault: Channel Selection
255,1681056669,Fault: Channel Selection
255,1681056760,Fault: Channel Selection
255,1681056851,Fault: Channel Selection
255,1681056943,Fault: Channel Selection
255,1681057034,Fault: Channel Selection
255,1681057125,Fault: Channel Selection
255,1681057216,Fault: Channel Selection
255,1681057307,Fault: Channel Selection
255,1681057399,Fault: Channel Selection
255,1681057490,Fault: Channel Selection
255,1681057581,Fault: Channel Selection
255,1681057672,Fault: Channel Selection
255,1681057763,Fault: Channel Selection
255,1681057854,Fault: Channel Selection
255,1681057946,Fault: Channel Selection
255,1681058037,Fault: Channel Selection
255,1681058124,Fault: Channel Selection
255,1681058216,Fault: Channel Selection
255,1681058307,Fault: Channel Selection
255,1681058398,Fault: Channel Selection
255,1681058489,Fault: Channel Selection
255,1681058580,Fault: Channel Selection
255,1681058671,Fault: Channel Selection
255,1681058763,Fault: Channel Selection
255,1681058854,Fault: Channel Selection
255,1681058945,Fault: Channel Selection
255,1681059036,Fault: Channel Selection
255,1681059127,Fault: Channel Selection
255,1681059219,Fault: Channel Selection
255,1681059310,Fault: Channel Selection
255,1681059401,Fault: Channel Selection
255,1681059492,Fault: Channel Selection
255,1681059583,Fault: Channel Selection
255,1681059675,Fault: Channel Selection
255,1681059766,Fault: Channel Selection
255,1681059857,Fault: Channel Selection
255,1681059948,Fault: Channel Selection
255,1681060039,Fault: Channel Selection
255,1681060130,Fault: Channel Selection
255,1681060222,Fault: Channel Selection
255,1681060313,Fault: Channel Selection
255,1681060404,Fault: Channel Selection
255,1681060495,Fault: Channel Selection
255,1681060586,Fault: Channel Selection
255,1681060678,Fault: Channel Selection
255,1681063842,Fault: Channel Selection
255,1681064319,Fault: Channel Selection
255,1681064410,Fault: Channel Selection
255,1681064501,Fault: Channel Selection
255,1681064592,Fault: Channel Selection
255,1681064683,Fault: Channel Selection
255,1681064774,Fault: Channel Selection
255,1681065014,Fault: Channel Selection
255,1681065105,Fault: Channel Selection
255,1681065169,Fault: Channel Selection
255,1681069734,Fault: Channel Selection
255,1681069825,Fault: Channel Selection
255,1681069908,Fault: Channel Selection
255,1681072453,Fault: Channel Selection
255,1681072777,Fault: Channel Selection
255,1681073003,Fault: Channel Selection
255,1681073095,Fault: Channel Selection
2,1681073156,Fault: Data Not Received
2,1681073217,Fault: Data Not Received
2,1681073390,Fault: Channel Selection
2,1681073451,Fault: Data Not Received
2,1681073512,Fault: Data Not Received
2,1681073609,Fault: Channel Selection
2,1681073670,Fault: Data Not Received
2,1681073731,Fault: Data Not Received
2,1681073828,Fault: Channel Selection
2,1681073889,Fault: Data Not Received
2,1681074047,Fault: Channel Selection
255,1681074187,Fault: Channel Selection
2,1681074248,Fault: Data Not Received
2,1681074340,Fault: Channel Selection
255,1681075305,Fault: Channel Selection
2,1681075366,Fault: Data Not Received
255,1681076068,Fault: Channel Selection
255,1681076179,Fault: Channel Selection
